"name" "value"
"Neapolitians" "Neolocal"
"Pahari" "Patrilocal"
"Antandroy" "Patrilocal"
"Sakalava" "Patrilocal"
"Usiai" "Patrilocal"
"Arapaho" "Matrilocal"
"Arikara" "Matrilocal"
"Assiniboin" "Patrilocal"
"Blackfoot" "Patrilocal"
"Blood" "Patrilocal"
"Bungi" "NA"
"Hidatsa" "Matrilocal"
"Karankawa" "Ambilocal"
"Kiowa" "Patrilocal"
"Piegan" "Patrilocal"
"Plains Cree" "Patrilocal"
"Santee" "Patrilocal"
"Kewyipaya" "Ambilocal"
"Shambala" "Patrilocal"
"Sherpa" "Patrilocal"
"Motu" "Patrilocal"
"Kakoli" "Patrilocal"
"Makin" "Patrilocal"
"Amahuaca" "Patrilocal"
"Xam" "Ambilocal"
"Naron" "Patrilocal"
"Chewa" "Matrilocal"
"Bena" "Neolocal"
"Gusii" "Patrilocal"
"Fut" "Patrilocal"
"Ruanda" "Patrilocal"
"Baule" "Matrilocal"
"Ibo" "Patrilocal"
"Toma" "Patrilocal"
"Malinke" "Patrilocal"
"Masa" "Patrilocal"
"Otoro" "Patrilocal"
"Kipsigis" "Patrilocal"
"Afar" "Patrilocal"
"Antessar" "Patrilocal"
"Kababish" "Patrilocal"
"Spaniards" "Neolocal"
"Turks" "Patrilocal"
"Baiga" "Patrilocal"
"Kwoma" "Patrilocal"
"Kiwai" "Patrilocal"
"Miriam" "Patrilocal"
"Mangarevans" "Patrilocal"
"Tahitians" "Ambilocal"
"Potawatomi" "Patrilocal"
"Menomini" "Patrilocal"
"Catawba" "Neolocal"
"Iroquois" "Matrilocal"
"Yuchi" "Neolocal"
"Lacandon" "Patrilocal"
"Conibo" "Matrilocal"
"Campa" "Patrilocal"
"Luvale" "Matrilocal"
"Chiga" "Patrilocal"
"Songola" "Patrilocal"
"Akyem" "NA"
"Igbira" "Patrilocal"
"Konkomba" "Patrilocal"
"Lobi" "Patrilocal"
"Nankanse" "Patrilocal"
"Acholi" "Patrilocal"
"Dinka" "Patrilocal"
"Lotuko" "Patrilocal"
"Amhara" "Patrilocal"
"Bolewa" "Patrilocal"
"Bororo Fulani" "Patrilocal"
"Hausa Kanawa" "Patrilocal"
"Karekare" "Patrilocal"
"Barabish" "Patrilocal"
"Byelorussians" "Ambilocal"
"Ukranians" "Patrilocal"
"Chahar" "Patrilocal"
"Telugu" "Patrilocal"
"Bontok" "Patrilocal"
"Abelam" "Patrilocal"
"Kutubu" "Neolocal"
"Carolinians" "Matrilocal"
"Rossel" "Patrilocal"
"Vanua Levu" "Patrilocal"
"Iowa" "Patrilocal"
"Oto" "Patrilocal"
"Lipan" "Matrilocal"
"Chokwe" "Matrilocal"
"Duala" "Patrilocal"
"Sherbro" "Patrilocal"
"Chawai" "Patrilocal"
"Mangbetu" "Patrilocal"
"Lake Tonga" "Matrilocal"
"Luguru" "Matrilocal"
"Kpelle" "Patrilocal"
"Kasena" "Patrilocal"
"Gurage" "Patrilocal"
"Greeks" "Patrilocal"
"Moghol" "Patrilocal"
"Li" "Patrilocal"
"Chin" "Patrilocal"
"Cham" "Matrilocal"
"Siane" "Neolocal"
"Netsilik" "Patrilocal"
"Taqagmiut" "Patrilocal"
"Sia" "Neolocal"
"Chichimec" "Matrilocal"
"Yupa" "Matrilocal"
"Piapoco" "Patrilocal"
"Maue" "Patrilocal"
"Shiriana" "Matrilocal"
"Waiwai" "Ambilocal"
"Sanema" "Ambilocal"
"Toba" "Ambilocal"
"Coroa" "Matrilocal"
"Hatsa Kindiga" "Ambilocal"
"Kisama" "Patrilocal"
"Kongo" "Matrilocal"
"Mbala" "Matrilocal"
"Shogo" "Matrilocal"
"Suku" "Patrilocal"
"Sundi" "Matrilocal"
"Teke" "Patrilocal"
"Yaka" "Matrilocal"
"Bunda" "Matrilocal"
"Dzing" "Matrilocal"
"Lele" "Matrilocal"
"Sakata" "Matrilocal"
"Songo" "Matrilocal"
"Yanzi" "Matrilocal"
"Luchazi" "Matrilocal"
"Luimbe" "Patrilocal"
"Luwa" "Matrilocal"
"Plateau Tonga" "Patrilocal"
"Buye" "Matrilocal"
"Kaonde" "Matrilocal"
"Lala" "Matrilocal"
"Luapula" "Matrilocal"
"Shila" "Matrilocal"
"Tumbuka" "Patrilocal"
"Kunda" "Matrilocal"
"Nyanja" "Matrilocal"
"Nyasa" "Matrilocal"
"Sena" "Matrilocal"
